CLID	FL1_NR	FL1.2_NR	FL10_NR	FL11b_CR	FL12_NR	FL13_NR	FL13.2_NR	FL14_NR	FL15_PR	FL16_PR	FL2_PR	FL3b_NR	FL4_CR	FL5b_CR	FL6_CR	FL6.2b_CR	FL7b_PR	FL8_PR	FL8.2_PR	FL9_NR	Spleen2	Spleen1	Tonsil2	Tonsil1
IMAGE:253507		-0.019	0.018	-0.728	-0.018	-1.499	-0.486		-0.986	1.076	0.644		-0.847	2.159	0.634	0.629	-0.349	-0.907		-0.246	0.039	1.133	0.161	0.566
IMAGE:841282	-0.489	0	-0.141	-0.476	1.075	0.226		1.216	-0.703	-0.159	0.502	3.498	-0.402	0.362	-0.151	-1.279	-0.565	2.829	3.213	0.225	0.69	1.848	-0.614	-0.006
IMAGE:130243		-0.292	-0.159	-0.675	-0.214	-0.784	-1.036	1.185	-0.685	-0.278	0.594	-0.231	0.041	0.119	0.329		0.222	-0.278	0.591	-0.041	0.638	2.964	1.675	1.314
IMAGE:740620	0.278	-0.215	0.015	-0.445	1.685	-0.512	0.64	0.065	-0.673	-0.14	-0.388	0.658	-0.217	-0.235	-0.291	0.26	-0.529	-0.015	-0.374	1.318	1.733	1.976	0.439	0.619
IMAGE:428782	0.405	0.118	-0.518	-0.123	1.306	0.074	0.194	-0.359	-0.501	-0.025	0.135	1.424	0.161	-0.257	-0.619	0	0.798	0.146	-0.652	1.132		-1.686	-1.232	-0.281
IMAGE:838807	0.13	-0.992	-0.581	0.364	0.172	-1.065	0.148	-0.553	-0.613	-1.188	0.975	0.128	0	-0.412		0.301	-1.311	-0.301	-0.423	0.392	0.099	0.262	0.235	-0.081
IMAGE:844680	1.38	0.4	-0.287	-0.007	0.553	-0.05	0.785	0.345	-0.089	0.006	0.3	-0.816	0.488	-0.836	0.214	0.85	0.304	-0.448	-1.033	1.086	-0.199	-2.464	-0.13	-0.047
IMAGE:767993	0.77	0.435	0.144	-0.52	1.509	-0.43	0.443	-0.637	-0.203	-1.037	-0.721	-0.896	-0.711	-0.541	-0.226	0.756	0.678	-0.05	0.338	0.049	1.318	0.365	-0.092	0.205
IMAGE:430237	-0.153	-0.187	-0.42	2.022	-0.226	0.213		-0.74	0.452	0.103	-0.225	-0.277	1.092	-3.053	1.253	1.705	0.689	1.254	1.172	0	0.131	-2.441	-0.611	-0.422
IMAGE:133518	-0.265	-0.022	0.445	0.521	-0.006	0.391	0.399	0.407	-1.242	-0.035	0.041	-0.09	0.588	0.444	0.812	1.095	0.287	-0.516	-0.792	0.007	-1.151	-1.214	-0.315	-0.589
IMAGE:293635	0.16	0.184			-0.528	0.799	-0.078	0.044	0.777	-0.117	-0.595	-1.663	-0.066	0.836	-0.044		0.543	0.426	0.818		-2.086	-2.706	0.119	-0.221
IMAGE:81198		0.03	-0.327	-1.029	0.704	0.095	-0.677	0.208	0.245	0.02	-1.656	0.025		-1.147	-0.322	0.252	-0.454	-0.831	-1.132	-0.605	0.728	0.588	-0.021	0.135
IMAGE:526134	0.187	0.185	0.033	-0.112	0.768	-0.47	0.271	-0.071	-0.418	-0.033	-1.386	-0.28	-0.339	1.967	-0.453	0.355	0.507	-0.46	-0.489	-0.525	1.34	0.605	1.194	1.529
IMAGE:239446		-1.399	0.75	1.736	-0.514	0.222	-0.896		-0.093		1.224	1.836		2.315	-0.382	-2.18	0.615	0.176	-1.094	0.01	-3.298	-4.697	0.556	-0.009
IMAGE:265114	0.104	0	-0.658	1.001	-1.396		0.074	0.338	0.512	-0.039	-0.288	-0.296	0.293	-0.089	0.059	0.489	0.429	-0.017	0.202	0.213	-1.614	-1.607	-0.78	-0.575
IMAGE:825470	-0.355	-0.395	-0.628	0.188	-0.245	0.105	-0.015	0.795	1.395	-0.665	-0.683	0.565	-0.025	1.885	-0.305	-0.225	0.015	0.515	0.255	0.075	-1.095	-0.305	0.935	0.715
IMAGE:253141	-0.003	0.017	0.099	0.004	1.674	-0.438	0.095	0.303	-0.468	0.346	-0.232	1.231	-0.377	-0.182	-0.455	1.176	-0.131	-0.158	-0.407	-0.219	1.924	1.105	0.047	-0.334
